Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_7543,1,11,1,4132,120,0,0.060205292,66.76024138,197.2,6.430493274
OpenStack_3315,1,137,0,23815,524,7,1.837829325,17.77281609,64.44444444,6.682692308
OpenStack_424,0,1,0,435,14,1,0,5.491133412,23.04761905,7.1875
OpenStack_4535,0,2,0,0,0,382,0,77.21359437,224.9722222,6.75385899
OpenStack_4355,0,4,0,0,0,4,0,6.830140173,22.80952381,6.663120567
OpenStack_5829,0,14,0,0,0,338,0.761042508,19.21416938,63.51271186,5.937586878
OpenStack_6845,5,68,1,73711,1488,165,2.719764682,76.79483583,225.7924528,6.32024945
OpenStack_1286,0,28,0,0,0,77,0.5,34.4948882,120.7894737,5.585635359
OpenStack_2066,1,16,0,912,21,10,1.50313361,11.87926267,51.66666667,5.834733894
OpenStack_3031,0,90,0,8020,251,5,0,8.154453782,35,6.725868726
OpenStack_5811,0,8,0,0,0,14,0.46134567,11.96715051,53.58823529,6.162068966
OpenStack_692,0,36,0,0,0,0,0,5.442992069,23.05263158,7.549107143
OpenStack_2979,0,24,0,2606,78,4,0,8.920174207,35.61111111,6.775862069
OpenStack_6982,0,13,0,0,0,85,0.507198794,6.531619718,35.5,7.263565891
OpenStack_3903,0,27,0,0,0,39,2.1199766,15.67499527,56.43333333,5.882438316
OpenStack_923,5,68,4,10680,337,138,3.867579536,73.93742198,212.2142857,5.797794118
OpenStack_6685,0,5,0,0,0,30,0,14.34570449,50.53333333,6.337643678
OpenStack_3265,1,15,0,3157,76,104,1.417653233,21.78129234,77.64705882,7.302030457
OpenStack_1218,0,1,0,0,0,0,0,5.292249589,20.71428571,7.231404959
OpenStack_1256,0,0,1,37,2,0,0,7.171109209,28.29411765,7.049792531
OpenStack_6942,0,12,0,0,0,256,0.004907102,14.6659596,53.63636364,5.753518295
OpenStack_1132,0,56,0,1916,92,1,0.442037455,10.07748549,38.45454545,6.847117794
OpenStack_1628,9,115,41,56493,2799,2369,21.15776241,187.6184986,513.7545126,6.98789544
OpenStack_7775,1,11,0,1721,56,7,0,8.916506562,38.1,6.827988338
OpenStack_6987,0,119,0,0,0,1,0,5.798233945,27.25,6.816733068
OpenStack_6817,0,13,0,0,0,0,0,6.561666667,26.22222222,7.204081633
OpenStack_4639,0,4,0,6252,280,3,0.528320834,7.37438914,26.76470588,7.061983471
OpenStack_2981,1,36,0,4954,134,7,0.311278124,10.10115596,42.89473684,6.308219178
OpenStack_5818,0,65,0,8596,281,10,0,9.022488038,34.15789474,6.162420382
OpenStack_7907,0,48,0,0,0,1,0,6.751039216,23.61111111,7.106837607
OpenStack_249,0,4,0,0,0,9,0,41.66806164,137,4.266666667
OpenStack_752,1,33,0,5483,117,5,0.239916318,27.72996236,96.52941176,5.718535469
OpenStack_7175,1,3,1,868,37,1,0.071459917,8.982675051,39.44,6.077830189
OpenStack_3983,0,41,0,0,0,1,0,5.557341398,21.52631579,7.113122172
OpenStack_2152,5,42,4,6712,143,82,6.282632583,56.31772901,171.1578947,6.174211248
OpenStack_1676,1,139,0,17760,451,0,0.588058046,10.47363107,41.2,6.517142857
OpenStack_4783,0,59,0,0,0,1,0,6.126714024,25.73684211,6.80876494
OpenStack_5204,2,90,0,2403,30,2,1.373182926,8.089069647,40.08333333,6.306547619
OpenStack_490,0,40,0,0,0,16,2.569284062,16.12365196,67.76470588,6.319230769
OpenStack_4385,0,23,0,1386,32,74,0,41.69156288,131,5.785252264
OpenStack_948,1,52,0,5339,144,54,0.665123888,21.01637047,81.05263158,7.659824047
OpenStack_469,1,12,0,0,0,11,0,5.275970359,24.95454545,7.148698885
OpenStack_6100,0,53,0,0,0,0,0,6.167216599,21.89473684,6.855319149
OpenStack_1907,1,9,0,5414,227,40,0.529243016,15.17888321,59.48387097,6.665653495
OpenStack_3792,1,5,0,1247,14,0,0,7.081536098,24.11111111,7.689243028
OpenStack_3660,0,1,0,0,0,1,0,8.092713611,32.23529412,6.981132075
OpenStack_4607,0,5,0,0,0,20,0,8.561828752,35.11764706,7.060150376
OpenStack_6196,1,160,0,26551,651,0,0.514835639,9.009772897,37.17647059,6.975177305
OpenStack_4473,0,3,0,0,0,7,0,7.831886545,35.84210526,6.567213115
OpenStack_1110,0,18,0,0,0,15,0.46134567,8.632610599,32.55,6.550295858
OpenStack_95,1,0,0,8761,181,315,0,168.9509569,466.4705882,3.096950743
OpenStack_4987,0,48,0,0,0,0,0,7.060186225,23.41176471,6.837004405
OpenStack_3506,0,54,0,0,0,1,0.5,5.642929379,22.78947368,7.126126126
OpenStack_6045,0,5,0,0,0,10,0,8.785599051,31.22222222,6.560810811
OpenStack_3299,1,13,0,1486,32,2,1.045820221,17.95437732,67.25,6.400452489
OpenStack_6012,1,29,0,10559,243,7,0.367279419,8.692367833,37.17647059,7.108208955
